列名,説明
pitch_type,球種（pitch_nameと同じ）
game_date,日付
release_speed,球速（マイル表示。　×1.61でkm/hに変換）
release_pos_x,水平リリース位置（フィート表示。　×30.48でcmに変換）
release_pos_z,垂直リリース位置（フィート表示。　×30.48でcmに変換）
player_name,不明（検索時のプレイヤー名？）
batter,打者の管理番号
pitcher,投手の管理番号（同じ列が二つある）
events,結果（アウト、シングルヒット、デッドボールなど）
description,一球ごとの結果
spin_dir,不明
spin_rate_deprecated,不明
break_angle_deprecated,不明
break_length_deprecated,不明
zone,投球コース（1〜9はストライクゾーン、11〜14はボールゾーン）
des,不明
game_type,レギュラーシーズンorポストシーズン
stand,打者の左右
p_throws,投手の左右
home_team,ホームチーム名
away_team,アウェイチーム名
type,ストライクかボールか
hit_location,不明（ヒットを打った場所かと思ったが、空振りにも番号が振ってあった）
bb_type,popup（ポップフライ）、ground_ball（ゴロ）、fly_ball（フライ）、line_drive（ライナー）
balls,投球前のボールカウント
strikes,投球前のストライクカウント
game_year,試合が行われた年
pfx_x,不明（自由落下を基準とした水平方向の変化量？）
pfx_z,不明（自由落下を基準とした鉛直方向の変化量？）
plate_x,ホームプレート上での水平方向の通過点（フィート表示。　×30.48でcmに変換）
plate_z,ホームプレート上での鉛直方向の通過点（フィート表示。　×30.48でcmに変換）
on_3b,3塁にいる選手
on_2b,2塁にいる選手
on_1b,1塁にいる選手
outs_when_up,アウトカウント
inning,イニング
inning_topbot,不明
hc_x,打球が着地したx座標
hc_y,打球が着地しらy座標
tfs_deprecated,不明
tfs_zulu_deprecated,不明
fielder_2,不明
umpire,不明
sv_id,不明
vx0,不明
vy0,不明
vz0,不明
ax,不明
ay,不明
az,不明
sz_top,ストライクゾーン上部（フィート表示。　×30.48でcmに変換）
sz_bot,ストライクゾーン下部（フィート表示。　×30.48でcmに変換）
hit_distance_sc,不明
launch_speed,打球の初速
launch_angle,打球の軌道
effective_speed,不明
release_spin_rate,投球の回転数
release_extension,投手のホーム方向へのリリース位置
game_pk,不明
pitcher,投手の管理番号（同じ列が二つある）
fielder_2,不明
fielder_3,不明
fielder_4,不明
fielder_5,不明
fielder_6,不明
fielder_7,不明
fielder_8,不明
fielder_9,不明
release_pos_y,投手のリリース時の鉛直方向位置
estimated_ba_using_speedangle,不明
estimated_woba_using_speedangle,不明
woba_value,不明
woba_denom,不明
babip_value,不明
iso_value,不明
launch_speed_angle,不明
at_bat_number,不明
pitch_number,イニングごとの投球数
pitch_name,球種（pitch_typeと同じ）
home_score,投球前のホームチームの点数
away_score,投球前のアウェイチームの点数
bat_score,不明
fld_score,不明
post_away_score,投球後のアウェイチームの点数
post_home_score,投球後のホームチームの点数
post_bat_score,不明
post_fld_score,不明
if_fielding_alignment,不明
of_fielding_alignment,不明
spin_axis,不明
delta_home_win_exp,不明
delta_run_exp,不明
